tipo,data,submercado,GWhDia,GWhAcMes,GWhAcAno,MWhDia,MWhAcMes,MWhAcAno
Termica,2017-04-01,Norte,"14,13","14,13","1.981,51",,,
Termica,2017-04-01,Nordeste,"67,73","67,73","6.100,45",,,
Termica,2017-04-01,Sul,"27,69","27,69","1.839,78",,,
Termica,2017-04-01,Sudeste/Centro-Oeste,"166,09","166,09","11.739,01",,,
Termica,2017-04-01,Sistema Interligado Nacional,"275,64","275,64","21.660,75",,,
Termica,2017-04-02,Norte,"14,54","28,67","1.996,05",,,
Termica,2017-04-02,Nordeste,"54,81","122,54","6.155,26",,,
Termica,2017-04-02,Sul,"30,31","58,01","1.870,09",,,
Termica,2017-04-02,Sudeste/Centro-Oeste,"157,24","323,33","11.880,86",,,
Termica,2017-04-02,Sistema Interligado Nacional,"256,91","532,55","21.902,26",,,
Termica,2017-04-03,Norte,"14,55","43,22","2.010,60",,,
Termica,2017-04-03,Nordeste,"68,53","191,07","6.223,78",,,
Termica,2017-04-03,Sul,"30,29","88,30","1.900,39",,,
Termica,2017-04-03,Sudeste/Centro-Oeste,"174,98","498,30","12.055,84",,,
Termica,2017-04-03,Sistema Interligado Nacional,"288,35","820,89","22.190,61",,,
Termica,2017-04-04,Norte,"15,24","58,47","2.025,84",,,
Termica,2017-04-04,Nordeste,"66,47","257,54","6.290,26",,,
Termica,2017-04-04,Sul,"31,15","119,45","1.931,53",,,
Termica,2017-04-04,Sudeste/Centro-Oeste,"195,90","694,20","12.251,74",,,
Termica,2017-04-04,Sistema Interligado Nacional,"308,76","1.129,66","22.499,37",,,
Termica,2017-04-05,Norte,"14,92","73,39","2.040,77",,,
Termica,2017-04-05,Nordeste,"56,95","314,49","6.347,21",,,
Termica,2017-04-05,Sul,"30,16","149,61","1.961,69",,,
Termica,2017-04-05,Sudeste/Centro-Oeste,"198,60","892,81","12.450,34",,,
Termica,2017-04-05,Sistema Interligado Nacional,"300,64","1.430,30","22.800,01",,,
Termica,2017-04-06,Norte,"13,38","86,77","2.054,14",,,
Termica,2017-04-06,Nordeste,"54,66","369,08","6.401,80",,,
Termica,2017-04-06,Sul,"31,90","181,51","1.993,59",,,
Termica,2017-04-06,Sudeste/Centro-Oeste,"194,60","1.087,41","12.644,94",,,
