data,submercado,GWhDia,GWhAcMes,GWhAcAno,MWhDia,MWhAcMes,MWhAcAno
2005-11-07,S,183,1.199,56.143,,,
2005-11-07,NE,170,1.153,49.661,,,
2005-11-07,N,77,532,23.002,,,
2005-11-07,SIN,1.132,7.482,340.492,,,
2005-11-08,SE/CO,710,5.308,212.397,,,
2005-11-08,S,188,1.388,56.331,,,
2005-11-08,NE,174,1.327,49.835,,,
2005-11-08,N,78,609,23.079,,,
2005-11-08,SIN,1.150,8.632,341.643,,,
2005-11-09,SE/CO,703,6.011,213.100,,,
2005-11-09,S,188,1.576,56.519,,,
2005-11-09,NE,176,1.503,50.011,,,
2005-11-09,N,77,687,23.157,,,
2005-11-09,SIN,1.144,9.777,342.787,,,
2005-11-10,SE/CO,694,6.705,213.794,,,
2005-11-10,S,189,1.764,56.708,,,
2005-11-10,NE,176,1.679,50.187,,,
2005-11-10,N,77,764,23.234,,,
2005-11-10,SIN,1.135,10.912,343.922,,,
2005-11-11,SE/CO,687,7.392,214.481,,,
2005-11-11,S,189,1.954,56.897,,,
2005-11-11,NE,173,1.852,50.360,,,
2005-11-11,N,77,841,23.311,,,
2005-11-11,SIN,1.127,12.039,345.050,,,
2005-11-12,SE/CO,635,8.027,215.117,,,
2005-11-12,S,167,2.121,57.065,,,
2005-11-12,NE,164,2.016,50.524,,,
2005-11-12,N,74,916,23.385,,,
2005-11-12,SIN,1.041,13.080,346.091,,,
2005-11-13,SE/CO,568,8.596,215.685,,,
2005-11-13,S,143,2.264,57.207,,,
2005-11-13,NE,149,2.165,50.673,,,
2005-11-13,N,74,989,23.459,,,
2005-11-13,SIN,934,14.014,347.024,,,
2005-11-14,SE/CO,654,9.250,216.339,,,
2005-11-14,S,181,2.445,57.388,,,
2005-11-14,NE,159,2.323,50.832,,,
2005-11-14,N,78,1.067,23.537,,,
2005-11-14,SIN,1.072,15.086,348.096,,,
2005-11-15,SE/CO,620,9.870,216.959,,,
2005-11-15,S,166,2.611,57.554,,,
2005-11-15,NE,153,2.477,50.985,,,
2005-11-15,N,74,1.142,23.611,,,
2005-11-15,SIN,1.013,16.099,349.109,,,
2005-11-16,SE/CO,720,10.590,217.679,,,
2005-11-16,S,202,2.813,57.757,,,
2005-11-16,NE,169,2.646,51.154,,,
2005-11-16,N,77,1.219,23.689,,,
2005-11-16,SIN,1.169,17.268,350.278,,,
2005-11-17,SE/CO,740,11.330,218.419,,,
2005-11-17,S,199,3.013,57.956,,,
2005-11-17,NE,172,2.818,51.326,,,
2005-11-17,N,78,1.297,23.767,,,
2005-11-17,SIN,1.189,18.457,351.468,,,
2005-11-18,SE/CO,737,12.067,219.156,,,
2005-11-18,S,200,3.212,58.156,,,
2005-11-18,NE,173,2.991,51.499,,,
2005-11-18,N,79,1.376,23.845,,,
2005-11-18,SIN,1.188,19.646,352.656,,,
2005-11-19,SE/CO,676,12.743,219.832,,,
2005-11-19,S,177,3.389,58.332,,,
2005-11-19,NE,165,3.156,51.665,,,
