tipo,data,submercado,GWhDia,GWhAcMes,GWhAcAno,MWhDia,MWhAcMes,MWhAcAno
Hidraulica,2017-02-28,Sul,"203,62","6.655,89","14.893,13",,,
Hidraulica,2017-02-28,Sudeste/Centro-Oeste,"538,26","16.866,40","35.220,46",,,
Hidraulica,2017-02-28,Itaipu,"185,92","7.050,05","14.474,04",,,
Hidraulica,2017-03-01,Norte,"213,81","213,81","9.746,87",,,
Hidraulica,2017-03-01,Nordeste,"60,27","60,27","3.305,64",,,
Hidraulica,2017-03-01,Sul,"247,80","247,80","15.140,94",,,
Hidraulica,2017-03-01,Sudeste/Centro-Oeste,"590,54","590,54","35.811,00",,,
Hidraulica,2017-03-01,Itaipu,"211,01","211,01","14.685,05",,,
Hidraulica,2017-03-02,Norte,"234,61","448,42","9.981,48",,,
Hidraulica,2017-03-02,Nordeste,"54,48","114,75","3.360,12",,,
Hidraulica,2017-03-02,Sul,"234,91","482,71","15.375,84",,,
Hidraulica,2017-03-02,Sudeste/Centro-Oeste,"663,26","1.253,80","36.474,26",,,
Hidraulica,2017-03-02,Itaipu,"217,98","428,99","14.903,03",,,
Hidraulica,2017-03-03,Norte,"234,79","683,21","10.216,27",,,
Hidraulica,2017-03-03,Nordeste,"55,12","169,87","3.415,24",,,
Hidraulica,2017-03-03,Sul,"222,30","705,01","15.598,14",,,
Hidraulica,2017-03-03,Sudeste/Centro-Oeste,"652,09","1.905,88","37.126,34",,,
Hidraulica,2017-03-03,Itaipu,"219,85","648,84","15.122,88",,,
Hidraulica,2017-03-04,Norte,"229,07","912,28","10.445,33",,,
Hidraulica,2017-03-04,Nordeste,"52,59","222,47","3.467,83",,,
Hidraulica,2017-03-04,Sul,"164,31","869,32","15.762,45",,,
Hidraulica,2017-03-04,Sudeste/Centro-Oeste,"572,95","2.478,83","37.699,29",,,
Hidraulica,2017-03-04,Itaipu,"224,83","873,67","15.347,71",,,
Hidraulica,2017-03-05,Norte,"222,25","1.134,53","10.667,58",,,
Hidraulica,2017-03-05,Nordeste,"51,95","274,42","3.519,79",,,
Hidraulica,2017-03-05,Sul,"112,65","981,97","15.875,10",,,
Hidraulica,2017-03-05,Sudeste/Centro-Oeste,"526,07","3.004,90","38.225,36",,,
Hidraulica,2017-03-05,Itaipu,"227,33","1.101,00","15.575,04",,,
Hidraulica,2017-03-06,Norte,"230,86","1.365,39","10.898,44",,,
Hidraulica,2017-03-06,Nordeste,"54,34","328,76","3.574,12",,,
Hidraulica,2017-03-06,Sul,"225,21","1.207,17","16.100,31",,,
Hidraulica,2017-03-06,Sudeste/Centro-Oeste,"607,05","3.611,95","38.832,41",,,
Hidraulica,2017-03-06,Itaipu,"253,85","1.354,85","15.828,89",,,
Hidraulica,2017-03-07,Norte,"237,01","1.602,40","11.135,45",,,
Hidraulica,2017-03-07,Nordeste,"53,27","382,03","3.627,39",,,
Hidraulica,2017-03-07,Sul,"220,22","1.427,39","16.320,52",,,
Hidraulica,2017-03-07,Sudeste/Centro-Oeste,"624,66","4.236,61","39.457,07",,,
Hidraulica,2017-03-07,Itaipu,"268,34","1.623,19","16.097,23",,,
Hidraulica,2017-03-08,Norte,"242,73","1.845,12","11.378,18",,,
Hidraulica,2017-03-08,Nordeste,"53,98","436,00","3.681,37",,,
Hidraulica,2017-03-08,Sul,"213,35","1.640,74","16.533,87",,,
Hidraulica,2017-03-08,Sudeste/Centro-Oeste,"621,35","4.857,96","40.078,42",,,
Hidraulica,2017-03-08,Itaipu,"264,45","1.887,64","16.361,68",,,
Hidraulica,2017-03-09,Norte,"238,65","2.083,77","11.616,83",,,
Hidraulica,2017-03-09,Nordeste,"51,47","487,48","3.732,84",,,
Hidraulica,2017-03-09,Sul,"227,02","1.867,76","16.760,89",,,
Hidraulica,2017-03-09,Sudeste/Centro-Oeste,"637,14","5.495,10","40.715,56",,,
Hidraulica,2017-03-09,Itaipu,"255,33","2.142,97","16.617,01",,,
Hidraulica,2017-03-10,Norte,"235,98","2.319,75","11.852,80",,,
Hidraulica,2017-03-10,Nordeste,"50,83","538,31","3.783,68",,,
Hidraulica,2017-03-10,Sul,"221,53","2.089,29","16.982,42",,,
