tipo,data,submercado,GWhDia,GWhAcMes,GWhAcAno,MWhDia,MWhAcMes,MWhAcAno
Termica,2006-03-21,N,0,0,0,,,
Termica,2006-03-21,SIN,102,2.145,6.998,,,
Termica,2006-03-22,SE/CO,56,1.420,4.283,,,
Termica,2006-03-22,S,36,748,2.506,,,
Termica,2006-03-22,NE,6,75,306,,,
Termica,2006-03-22,N,0,0,0,,,
Termica,2006-03-22,SIN,98,2.243,7.095,,,
Termica,2006-03-23,SE/CO,60,1.480,4.343,,,
Termica,2006-03-23,S,37,784,2.542,,,
Termica,2006-03-23,NE,7,82,313,,,
Termica,2006-03-23,N,0,0,0,,,
Termica,2006-03-23,SIN,103,2.346,7.198,,,
Termica,2006-03-24,SE/CO,53,1.533,4.395,,,
Termica,2006-03-24,S,36,820,2.578,,,
Termica,2006-03-24,NE,6,88,320,,,
Termica,2006-03-24,N,0,0,0,,,
Termica,2006-03-24,SIN,95,2.441,7.293,,,
Termica,2006-03-25,SE/CO,51,1.583,4.446,,,
Termica,2006-03-25,S,36,857,2.615,,,
Termica,2006-03-25,NE,6,94,326,,,
Termica,2006-03-25,N,0,0,0,,,
Termica,2006-03-25,SIN,94,2.535,7.387,,,
Termica,2006-03-26,SE/CO,56,1.640,4.503,,,
Termica,2006-03-26,S,34,891,2.649,,,
Termica,2006-03-26,NE,6,101,332,,,
Termica,2006-03-26,N,0,0,0,,,
Termica,2006-03-26,SIN,97,2.632,7.484,,,
Termica,2006-03-27,SE/CO,69,1.709,4.572,,,
Termica,2006-03-27,S,33,924,2.682,,,
Termica,2006-03-27,NE,6,107,338,,,
Termica,2006-03-27,N,0,0,0,,,
Termica,2006-03-27,SIN,108,2.740,7.593,,,
Termica,2006-03-28,SE/CO,69,1.779,4.641,,,
Termica,2006-03-28,S,30,955,2.713,,,
Termica,2006-03-28,NE,6,113,345,,,
Termica,2006-03-28,N,0,0,0,,,
Termica,2006-03-28,SIN,106,2.846,7.699,,,
Termica,2006-03-29,SE/CO,70,1.848,4.711,,,
Termica,2006-03-29,S,30,984,2.742,,,
Termica,2006-03-29,NE,4,117,348,,,
Termica,2006-03-29,N,0,0,0,,,
Termica,2006-03-29,SIN,103,2.949,7.801,,,
Termica,2006-03-30,SE/CO,64,1.911,4.774,,,
Termica,2006-03-30,S,31,1.015,2.773,,,
Termica,2006-03-30,NE,1,117,349,,,
Termica,2006-03-30,N,0,0,0,,,
Termica,2006-03-30,SIN,95,3.043,7.896,,,
Termica,2006-03-31,SE/CO,63,1.974,4.837,,,
Termica,2006-03-31,S,33,1.049,2.807,,,
Termica,2006-03-31,NE,0,118,349,,,
Termica,2006-03-31,N,0,0,0,,,
Termica,2006-03-31,SIN,97,3.140,7.993,,,
Termica,2006-04-01,SE/CO,54,54,4.891,,,
Termica,2006-04-01,S,31,31,2.837,,,
Termica,2006-04-01,NE,5,5,354,,,
Termica,2006-04-01,N,0,0,0,,,
Termica,2006-04-01,SIN,90,90,8.083,,,
Termica,2006-04-02,SE/CO,44,99,4.936,,,
Termica,2006-04-02,S,28,58,2.865,,,
Termica,2006-04-02,NE,6,11,361,,,
Termica,2006-04-02,N,0,0,0,,,
Termica,2006-04-02,SIN,78,169,8.161,,,
Termica,2006-04-03,SE/CO,43,142,4.979,,,
Termica,2006-04-03,S,27,86,2.893,,,
Termica,2006-04-03,NE,6,18,367,,,
Termica,2006-04-03,N,0,0,0,,,
Termica,2006-04-03,SIN,77,246,8.239,,,
Termica,2006-04-04,SE/CO,54,54,4.891,,,
Termica,2006-04-04,S,31,31,2.837,,,
Termica,2006-04-04,NE,5,5,354,,,
Termica,2006-04-04,N,0,0,0,,,
Termica,2006-04-04,SIN,90,90,8.083,,,
Termica,2006-04-05,SE/CO,41,225,5.062,,,
