tipo,data,submercado,GWhDia,GWhAcMes,GWhAcAno,MWhDia,MWhAcMes,MWhAcAno
Eolica,2017-03-16,Sistema Interligado Nacional,"68,31","1.049,45","5.732,93",,,
Eolica,2017-03-17,Norte,"0,00","0,00","0,00",,,
Eolica,2017-03-17,Nordeste,"39,05","864,92","4.903,44",,,
Eolica,2017-03-17,Sul,"17,34","240,92","885,88",,,
Eolica,2017-03-17,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-03-17,Sistema Interligado Nacional,"56,39","1.105,84","5.789,32",,,
Eolica,2017-03-18,Norte,"0,00","0,00","0,00",,,
Eolica,2017-03-18,Nordeste,"24,64","889,56","4.928,07",,,
Eolica,2017-03-18,Sul,"6,32","247,24","892,20",,,
Eolica,2017-03-18,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-03-18,Sistema Interligado Nacional,"30,96","1.136,80","5.820,28",,,
Eolica,2017-03-19,Norte,"0,00","0,00","0,00",,,
Eolica,2017-03-19,Nordeste,"43,87","933,42","4.971,94",,,
Eolica,2017-03-19,Sul,"8,92","256,15","901,12",,,
Eolica,2017-03-19,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-03-19,Sistema Interligado Nacional,"52,78","1.189,58","5.873,06",,,
Eolica,2017-03-20,Norte,"0,00","0,00","0,00",,,
Eolica,2017-03-20,Nordeste,"61,42","994,84","5.033,35",,,
Eolica,2017-03-20,Sul,"13,80","269,96","914,92",,,
Eolica,2017-03-20,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-03-20,Sistema Interligado Nacional,"75,22","1.264,80","5.948,28",,,
Eolica,2017-03-21,Norte,"0,00","0,00","0,00",,,
Eolica,2017-03-21,Nordeste,"41,25","1.036,09","5.074,61",,,
Eolica,2017-03-21,Sul,"18,55","288,50","933,47",,,
Eolica,2017-03-21,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-03-21,Sistema Interligado Nacional,"59,80","1.324,59","6.008,08",,,
Eolica,2017-03-22,Norte,"0,00","0,00","0,00",,,
Eolica,2017-03-22,Nordeste,"46,80","1.082,89","5.121,41",,,
Eolica,2017-03-22,Sul,"18,94","307,44","952,41",,,
Eolica,2017-03-22,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-03-22,Sistema Interligado Nacional,"65,74","1.390,33","6.073,82",,,
Eolica,2017-03-23,Norte,"0,00","0,00","0,00",,,
Eolica,2017-03-23,Nordeste,"49,51","1.132,40","5.170,91",,,
Eolica,2017-03-23,Sul,"13,82","321,26","966,22",,,
Eolica,2017-03-23,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-03-23,Sistema Interligado Nacional,"63,32","1.453,66","6.137,14",,,
Eolica,2017-03-24,Norte,"0,00","0,00","0,00",,,
Eolica,2017-03-24,Nordeste,"56,47","1.188,87","5.227,38",,,
Eolica,2017-03-24,Sul,"4,58","325,84","970,80",,,
Eolica,2017-03-24,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-03-24,Sistema Interligado Nacional,"61,05","1.514,70","6.198,19",,,
Eolica,2017-03-25,Norte,"0,00","0,00","0,00",,,
Eolica,2017-03-25,Nordeste,"48,68","1.237,55","5.276,07",,,
Eolica,2017-03-25,Sul,"11,42","337,26","982,22",,,
Eolica,2017-03-25,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-03-25,Sistema Interligado Nacional,"60,11","1.574,81","6.258,29",,,
Eolica,2017-03-26,Norte,"0,00","0,00","0,00",,,
